trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-04-13 23:03:30,374125201044065,"fraud_Koss, Hansen and Lueilwitz",home,111.03,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",1970-07-20,61ba68ba28fceaa6200724817bf28788,1365894210,39.630349,-77.21555699999999,0
2020-01-26 07:01:41,30407675418785,"fraud_Herman, Treutel and Dickens",misc_net,1.35,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13,83e3c7847cdbda335fcbabe9ca1ba5ec,1359183701,41.445647,-76.079927,0
2020-03-24 10:09:23,6538441737335434,fraud_Bradtke PLC,grocery_pos,69.4,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1997-09-22,6fd089dc357e853c32972525f2ef956a,1364119763,41.371143,-81.09619,0
2020-01-01 22:36:51,4396682467723,"fraud_Langworth, Boehm and Gulgowski",shopping_net,834.49,Scott,Cole,M,646 Louis Fort Apt. 665,North Las Vegas,NV,89084,36.2815,-115.1482,214518,Catering manager,1960-01-16,09eaa5ad09ca0c4836ec2596095ad9cc,1357079811,36.688314,-114.686106,1
2020-01-11 19:46:32,4610064888664703,"fraud_Gottlieb, Considine and Schultz",shopping_net,72.89,Tammy,Maldonado,F,3312 Rachel Parks Suite 474,Stittville,NY,13469,43.2229,-75.2899,847,Systems analyst,1996-01-11,816b461dd229666f83e85a260ae11e04,1357933592,43.100339,-75.582502,0
2020-05-22 20:48:35,4481131401752,fraud_Gaylord-Powlowski,home,16.49,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1975-04-30,941d871e90ddca9f4bd3e8cabf685624,1369255715,42.584215,-71.88485899999999,0
2020-06-05 18:15:15,4745996322265,fraud_Quitzon-Goyette,home,1.23,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,fa6dd8c2c9758a604d938f5c057935d5,1370456115,42.014108,-86.964585,0
2020-06-06 16:55:06,2712209726293386,fraud_Turner and Sons,shopping_pos,168.13,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,22f1bdffa77def669e721aecae166073,1370537706,30.950204,-91.49616,0
2020-02-12 01:09:09,4997733566924489,fraud_Kozey-Boehm,shopping_net,942.21,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1971-08-06,d15a6dac3a1019be4b459a18bb2a7b76,1360631349,44.595189000000005,-92.609056,1
2020-02-24 17:54:56,30428204673351,fraud_Berge-Ullrich,home,66.25,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088,40.3087,-76.2963,823,Gaffer,1982-07-02,69fac6e1849756f9067b5f80e116e5ba,1361728496,40.56061,-76.32889399999999,0
2019-12-29 22:45:05,4312133045694601139,"fraud_Okuneva, Schneider and Rau",shopping_pos,6.31,Julian,Price,M,086 Pierce Cove,Pikesville,MD,21208,39.3764,-76.729,33917,Company secretary,1977-06-12,721ca44dfda14dd0ecce645cc1092223,1356821105,40.280291,-77.05633,0
2020-05-28 17:52:59,4277232699798846,"fraud_Turner, Ziemann and Lehner",food_dining,89.69,Jennifer,Vance,F,13299 Patrick Terrace,Rhame,ND,58651,46.1664,-103.7079,475,Illustrator,1955-11-10,ae340d13f05b9a2f20785acbc8b5cc8b,1369763579,46.985355,-104.385772,0
2020-02-07 01:53:47,30518196150127,"fraud_Stokes, Christiansen and Sipes",grocery_net,34.6,Karen,Sullivan,F,6313 Scott Trace,Rossville,IL,60963,40.3625,-87.6692,1807,"Buyer, retail",1975-06-02,2aa342911734a8af7085c567185b9de0,1360202027,39.849334000000006,-86.792917,0
2020-05-31 05:46:47,675945690716,fraud_Schmitt Inc,gas_transport,54.19,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,2000-06-09,91c2c380ec0295aa03176cf5d82da9ed,1369979207,40.013493,-79.609735,0
2020-03-27 23:03:54,4514242065619750,"fraud_Lubowitz, Terry and Stracke",personal_care,42.3,Janet,Carpenter,F,9870 Collins Flat,Laramie,WY,82072,41.4247,-105.4781,35371,"Pilot, airline",1988-09-02,3b16e655c6d6ce2722ea0ee42592b82b,1364425434,40.933399,-105.505635,0
2020-01-17 17:32:34,4069975342931683,fraud_Beier and Sons,home,41.52,Kimberly,Martin,F,1943 Dennis Inlet Suite 145,Hurricane,WV,25526,38.4257,-81.9943,21902,Sub,1980-09-18,9f74904db4d40e38e5e12b7cb17efef1,1358443954,37.46063,-81.94673900000001,0
2020-01-11 23:54:02,4939976756738216,fraud_Little Ltd,kids_pets,51.26,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,724df9140c2f4da8856e01f1b312c3f2,1357948442,27.024718,-99.540203,0
2020-02-18 11:43:48,3521417320836166,fraud_Ortiz Group,grocery_net,63.39,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,1975-11-30,8745badf47c624d68abb3e2944472e4a,1361187828,39.02308,-86.371427,0
2020-03-23 20:17:14,2720012583106919,fraud_Erdman-Ebert,personal_care,70.35,Joseph,Murray,M,42933 Ryan Underpass,Manderson,SD,57756,43.3526,-102.5411,1126,Volunteer coordinator,1980-08-18,2530069ef008de40645b8d9847d2820b,1364069834,42.74817,-101.74921,0
2020-04-26 21:15:08,2269768987945882,"fraud_McDermott, Osinski and Morar",home,26.71,Shannon,Patterson,F,9808 Ellis Bypass,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1958-10-29,813d9fbc2966ebb9167371470ce755da,1367010908,42.392342,-76.970301,0
2020-04-07 09:41:19,4561368699336875,fraud_Bauch-Raynor,grocery_pos,93.5,Pamela,Lewis,F,653 Jessica Extension Apt. 668,Clifton,SC,29324,34.9906,-81.8327,167,Museum/gallery conservator,1988-11-01,90980809f9d2c5b5f233b7bec41e404f,1365327679,35.746468,-81.89593,0
2020-06-08 16:20:38,30029052116970,fraud_Bechtelar-Rippin,food_dining,12.37,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,1c17c38cbbd2e1ea3784dd3bbd95d096,1370708438,42.513767,-80.087281,0
2020-04-06 07:54:20,30199621383748,fraud_Miller-Harris,misc_net,14.47,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,abb267bd2a67b8baea9f769daa7eac04,1365234860,34.317462,-95.515472,0
2020-03-15 00:39:22,4710826438164847414,"fraud_Reichert, Huels and Hoppe",shopping_net,35.05,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964-01-04,36be7c3ba299daeaf5a799a669a51259,1363307962,49.267892,-107.981358,0
2020-02-09 21:09:29,676148621961,fraud_Hoppe-Parisian,kids_pets,27.06,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,1962-11-18,ed032d97215ec24fc34ce06fea872637,1360444169,39.522008,-90.760785,0
2020-05-21 03:40:58,4841313716651064,fraud_Heller-Langosh,gas_transport,67.97,Omar,Gay,M,2161 Blankenship Freeway,West Hartford,VT,5084,43.7185,-72.4439,140,"Development worker, community",1989-10-28,58f125e23e6fcfe9af26dea918c03f79,1369107658,44.05306,-72.675862,0
2020-05-29 09:52:44,4800395067176717,fraud_Wolf Inc,grocery_pos,148.5,Daniel,Owens,M,88794 Mandy Lodge Apt. 874,Howells,NE,68641,41.6964,-96.9858,1063,Research scientist (maths),1928-04-02,bd3a335d3a1b66b5f1b433df58d7c543,1369821164,42.373453000000005,-97.834842,0
2020-02-12 17:41:20,3513618443244549,fraud_Ruecker-Mayert,kids_pets,303.56,Amber,Perez,F,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,1955-06-26,40cadbcff4d10686006c987922d08a3d,1360690880,43.227744,-97.17825,0
2019-12-30 17:04:37,4874017206859125,fraud_Deckow-Dare,food_dining,88.15,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,1982-05-28,13855f6f049084fa1ddd67600492a37d,1356887077,46.364382,-123.373631,0
2020-03-31 17:15:12,4079773899158,fraud_Schaefer Ltd,kids_pets,6.84,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,086ee193f9c7e716f528f37ffebe6bc4,1364750112,44.959106,-115.494128,0
2020-05-31 10:25:58,571465035400,fraud_Morissette PLC,shopping_pos,165.02,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,30891baf90371d245cac1aee2d98deb3,1369995958,43.105807,-109.791313,0
2019-12-31 13:08:59,2242542703101233,"fraud_Rodriguez, Yost and Jenkins",misc_net,157.91,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,1996-04-10,d0b9d1a4b7f75d2f72c6a4afa32874f4,1356959339,39.187385,-86.38251899999999,0
2020-03-08 18:32:39,30560609640617,fraud_Kirlin and Sons,personal_care,104.92,Michael,Olson,M,558 Michael Estates,Luray,MO,63453,40.4931,-91.8912,519,Town planner,1966-02-13,af09055e1079d1578dd81f063c967c6a,1362767559,40.730906,-91.879125,0
2020-06-02 19:00:19,4874006077381178,fraud_Pacocha-Weissnat,kids_pets,55.36,Patricia,Russell,F,89297 Wilson Green Suite 601,Moscow,IA,52760,41.5646,-91.0859,533,Chief Technology Officer,1990-01-13,d610e592cbf5ab802409c4d87a473c28,1370199619,41.523268,-90.278413,0
2020-02-08 14:54:55,675945690716,"fraud_Jones, Sawayn and Romaguera",misc_net,37.98,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,2000-06-09,e6a21fdb6d6b4c1758578370b1da0e31,1360335295,40.059345,-79.746611,0
2020-04-20 23:54:56,30131826429364,fraud_Schuppe-Schuppe,food_dining,123.6,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",1994-04-22,e75031731156a33574e9038b2bd497e5,1366502096,35.488347999999995,-84.915735,0
